Code;Bahnhof_Haltestelle;Bezugsjahr;DTV;DMW;Eigner;Bemerkung;geopos;lod
KGD;Küngoldingen;2016-01-01;130;150.0;SBB;;47.3019656073, 7.94169493557;http://lod.opentransportdata.swiss/didok/8502120
KUES;Küsnacht ZH;2016-01-01;5100;6100.0;SBB;;47.3191528026, 8.58061588761;http://lod.opentransportdata.swiss/didok/8503101
LQ;Landquart;2016-01-01;13300;13100.0;SBB;;46.9674389764, 9.55402859224;http://lod.opentransportdata.swiss/didok/8509002
KK;Kölliken;2016-01-01;640;760.0;SBB;;47.3372920119, 8.0264455205;http://lod.opentransportdata.swiss/didok/8502101
NWD;Niederweningen Dorf;2016-01-01;860;1000.0;SBB;;47.5059060903, 8.38104986019;http://lod.opentransportdata.swiss/didok/8503318
NAEF;Näfels-Mollis;2016-01-01;1400;1600.0;SBB;;47.0987196928, 9.0699449253;http://lod.opentransportdata.swiss/didok/8503227
OEF;Oberentfelden;2016-01-01;750;890.0;SBB;;47.3564807476, 8.04837791732;http://lod.opentransportdata.swiss/didok/8502102
NIE;Niederhasli;2016-01-01;2100;2400.0;SBB;;47.4783287603, 8.48869130494;http://lod.opentransportdata.swiss/didok/8503314
NET;Netstal;2016-01-01;800;910.0;SBB;;47.0645276001, 9.05942421662;http://lod.opentransportdata.swiss/didok/8503228
NEB;Nebikon;2016-01-01;1400;1700.0;SBB;;47.192373647, 7.97744173598;http://lod.opentransportdata.swiss/didok/8502005
MUEL;Müllheim-Wigoltingen;2016-01-01;550;640.0;SBB;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2016 eingeschränkt und somit ein Vergleich mit der Angabe 2014 nicht sinnvoll.;47.5881673349, 9.01550138775;http://lod.opentransportdata.swiss/didok/8506103
MTM;Mettmenstetten;2016-01-01;1900;2200.0;SBB;;47.244071939, 8.45736538581;http://lod.opentransportdata.swiss/didok/8502225
MUEH;Mühlau;2016-01-01;180;210.0;SBB;;47.225014385, 8.3885103326;http://lod.opentransportdata.swiss/didok/8502217
MI;Muri AG;2016-01-01;2200;2600.0;SBB;;47.2766601869, 8.3397982935;http://lod.opentransportdata.swiss/didok/8502215
ML;Meilen;2016-01-01;8000;9300.0;SBB;;47.2698122, 8.64429304135;http://lod.opentransportdata.swiss/didok/8503104
RFAU;Rheinfelden Augarten;2016-01-01;980;1100.0;SBB;;47.5458662882, 7.76802232018;http://lod.opentransportdata.swiss/didok/8500313
ROG;Roggwil-Wynau;2016-01-01;260;310.0;SBB;;47.2516286412, 7.81490475887;http://lod.opentransportdata.swiss/didok/8508101
RH;Romanshorn;2016-01-01;10300;11300.0;SBB;;47.5655269844, 9.37936259732;http://lod.opentransportdata.swiss/didok/8506121
LBD;Root D4;2016-01-01;800;1000.0;SBB;;47.1048571473, 8.37379836133;http://lod.opentransportdata.swiss/didok/8515997
MF;Maienfeld;2016-01-01;790;890.0;SBB;;47.0038340592, 9.52919552142;http://lod.opentransportdata.swiss/didok/8509003
LIN;Linthal;2016-01-01;350;380.0;SBB;;46.9255699583, 8.99777825107;http://lod.opentransportdata.swiss/didok/8503239
LEN;Lengnau;2016-01-01;1100;1200.0;SBB;;47.1794233382, 7.36654652735;http://lod.opentransportdata.swiss/didok/8500201
PRSR;Pratteln Salina Raurica;2016-01-01;1000;1200.0;SBB;;47.5305742249, 7.70986947527;http://lod.opentransportdata.swiss/didok/8517131
RW;Rapperswil;2016-01-01;20900;22800.0;SBB;;47.2248877672, 8.81673057998;http://lod.opentransportdata.swiss/didok/8503110
OBK;Oberkirch;2016-01-01;480;550.0;SBB;;47.1552315719, 8.11422262548;http://lod.opentransportdata.swiss/didok/8502011
OI;Oberrüti;2016-01-01;330;390.0;SBB;;47.1659234421, 8.40476673935;http://lod.opentransportdata.swiss/didok/8502219
PFU;Pfungen;2016-01-01;1400;1700.0;SBB;;47.5160332387, 8.64661156441;http://lod.opentransportdata.swiss/didok/8506042
SLF;Schloss Laufen am Rheinfall;2016-01-01;440;370.0;SBB;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2014 eingeschränkt und somit ein Vergleich mit der Angabe 2016 nicht sinnvoll.;47.6765598478, 8.61424692042;http://lod.opentransportdata.swiss/didok/8506039
SH;Schaffhausen;2016-01-01;18200;20500.0;SBB;Ohne DB.;47.6982814692, 8.6327284859;http://lod.opentransportdata.swiss/didok/8503424
SCAE;Schänis;2016-01-01;630;730.0;SBB;;47.1576544109, 9.04396432715;http://lod.opentransportdata.swiss/didok/8503119
RUET;Rüti GL;2016-01-01;170;200.0;SBB;;46.934547281, 9.01302543269;http://lod.opentransportdata.swiss/didok/8503238
SAF;Safenwil;2016-01-01;540;640.0;SBB;;47.32175296, 7.98350900936;http://lod.opentransportdata.swiss/didok/8502100
SCWE;Schwerzenbach ZH;2016-01-01;10100;12100.0;SBB;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2014 eingeschränkt und somit ein Vergleich mit der Angabe 2016 nicht sinnvoll.;47.3843802387, 8.6586595992;http://lod.opentransportdata.swiss/didok/8503127
SIG;Siggenthal-Würenlingen;2016-01-01;1300;1600.0;SBB;;47.5206885967, 8.24066005982;http://lod.opentransportdata.swiss/didok/8503502
SEM;Sempach-Neuenkirch;2016-01-01;2100;2400.0;SBB;;47.1160520887, 8.19596739854;http://lod.opentransportdata.swiss/didok/8502009
SGBR;St. Gallen Bruggen;2016-01-01;310;350.0;SBB;;47.4072003987, 9.32964579651;http://lod.opentransportdata.swiss/didok/8506301
SG;St. Gallen;2016-01-01;47400;53200.0;SBB;;47.4231790668, 9.36987712043;http://lod.opentransportdata.swiss/didok/8506302
SIS;Sissach;2016-01-01;8000;9000.0;SBB;;47.4627456535, 7.81201832437;http://lod.opentransportdata.swiss/didok/8500026
SEL;Selzach;2016-01-01;810;980.0;SBB;;47.2006188377, 7.45662984225;http://lod.opentransportdata.swiss/didok/8500204
BSD;Bassersdorf;2016-01-01;4600;5300.0;SBB;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2014 eingeschränkt und somit ein Vergleich mit der Angabe 2016 nicht sinnvoll.;47.4385636372, 8.62619947666;http://lod.opentransportdata.swiss/didok/8503307
GD;Arth-Goldau;2016-01-01;12600;12800.0;SBB;Ohne RB.;47.04915622, 8.54949116322;http://lod.opentransportdata.swiss/didok/8505004
BIM;Biel Mett;2016-01-01;510;630.0;SBB;;47.1447131206, 7.27247559035;http://lod.opentransportdata.swiss/didok/8504419
BET;Bettlach;2016-01-01;630;790.0;SBB;;47.1949438967, 7.42836206864;http://lod.opentransportdata.swiss/didok/8500203
BELL;Bellach;2016-01-01;570;680.0;SBB;;47.2089019374, 7.50785978776;http://lod.opentransportdata.swiss/didok/8500205
BAA;Baar;2016-01-01;8300;9800.0;SBB;;47.1953625991, 8.52325583517;http://lod.opentransportdata.swiss/didok/8502206
BU;Buchs SG;2016-01-01;4800;5300.0;SBB;Ohne Regionalverkehr ÖBB.;47.1684089962, 9.47862968189;http://lod.opentransportdata.swiss/didok/8509404
BZS;Bischofszell Stadt;2016-01-01;;;SBB;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.4921416385, 9.24146504156;http://lod.opentransportdata.swiss/didok/8506213
BUD;Buchs-Dällikon;2016-01-01;2600;3200.0;SBB;;47.4533973239, 8.43557852512;http://lod.opentransportdata.swiss/didok/8503527
BIR;Birmensdorf ZH;2016-01-01;4200;4800.0;SBB;;47.3574317945, 8.4375437434;http://lod.opentransportdata.swiss/didok/8502221
BLU;Blumenau;2016-01-01;410;500.0;SBB;;47.2236693254, 8.84238332851;http://lod.opentransportdata.swiss/didok/8503113
ALN;Altnau;2016-01-01;350;370.0;SBB;;47.6213657537, 9.26589677408;http://lod.opentransportdata.swiss/didok/8506125
FI;Fischenthal;2016-01-01;130;150.0;SBB;;47.333298028, 8.92327465614;http://lod.opentransportdata.swiss/didok/8503136
FB;Feldbach;2016-01-01;1200;1400.0;SBB;;47.2391975436, 8.78348281363;http://lod.opentransportdata.swiss/didok/8503109
FL;Flüelen;2016-01-01;1600;1600.0;SBB;;46.9017256462, 8.62429304308;http://lod.opentransportdata.swiss/didok/8505112
DAG;Dagmersellen;2016-01-01;950;1100.0;SBB;;47.2175519872, 7.97901545049;http://lod.opentransportdata.swiss/didok/8502004
EBR;Emmenbrücke;2016-01-01;3700;4200.0;SBB;;47.0705979582, 8.28255105833;http://lod.opentransportdata.swiss/didok/8502021
EG;Egerkingen;2016-01-01;1200;1400.0;SBB;;47.3148575546, 7.79894973749;http://lod.opentransportdata.swiss/didok/8500214
DI;Dielsdorf;2016-01-01;2500;2900.0;SBB;;47.4824133475, 8.45942183431;http://lod.opentransportdata.swiss/didok/8503315
GF;Glattfelden;2016-01-01;1000;1200.0;SBB;;47.5485571928, 8.52403632788;http://lod.opentransportdata.swiss/didok/8503401
URDW;Urdorf Weihermatt;2016-01-01;2000;2300.0;SBB;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2014 eingeschränkt und somit ein Vergleich mit der Angabe 2016 nicht sinnvoll.;47.3809708849, 8.43033031194;http://lod.opentransportdata.swiss/didok/8502229
URD;Urdorf;2016-01-01;2200;2600.0;SBB;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2014 eingeschränkt und somit ein Vergleich mit der Angabe 2016 nicht sinnvoll.;47.3908815923, 8.43471362358;http://lod.opentransportdata.swiss/didok/8502220
TRIB;Triboltingen;2016-01-01;80;90.0;SBB;;47.6629006458, 9.10874984287;http://lod.opentransportdata.swiss/didok/8506118
UZW;Uzwil;2016-01-01;4900;5800.0;SBB;;47.4364421946, 9.13097170762;http://lod.opentransportdata.swiss/didok/8506208
TWN;Twann;2016-01-01;490;480.0;SBB;;47.0936555927, 7.15649171643;http://lod.opentransportdata.swiss/didok/8504228
ZSTH;Zürich Stadelhofen;2016-01-01;71200;83300.0;SBB;Ohne FB.;47.3666105569, 8.54846647022;http://lod.opentransportdata.swiss/didok/8503003
WILA;Wila;2016-01-01;;;SBB;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.4177702961, 8.84846779076;http://lod.opentransportdata.swiss/didok/8506008
ZTB;Zürich Tiefenbrunnen;2016-01-01;4400;5000.0;SBB;;47.3501235091, 8.56137239898;http://lod.opentransportdata.swiss/didok/8503004
WBOL;Wangen bei Olten;2016-01-01;850;1000.0;SBB;;47.3413970205, 7.86834787109;http://lod.opentransportdata.swiss/didok/8500216
WSEE;Winterthur Seen;2016-01-01;3000;3500.0;SBB;;47.4874349418, 8.76678904042;http://lod.opentransportdata.swiss/didok/8506002
WAL;Walenstadt;2016-01-01;1500;1600.0;SBB;;47.1198710093, 9.31297181278;http://lod.opentransportdata.swiss/didok/8509414
ZK;Zollikon;2016-01-01;1100;1300.0;SBB;;47.3373317337, 8.569717612;http://lod.opentransportdata.swiss/didok/8503100
STK;Steckborn;2016-01-01;;;SBB;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.6645058687, 8.98100858061;http://lod.opentransportdata.swiss/didok/8506136
SGWI;St. Gallen Winkeln;2016-01-01;1000;1200.0;SBB;;47.4039256735, 9.30083970711;http://lod.opentransportdata.swiss/didok/8506300
TD;Tann-Dürnten;2016-01-01;160;180.0;SBB;;47.2683703417, 8.85270412923;http://lod.opentransportdata.swiss/didok/8503139
STE;Steinhausen;2016-01-01;980;1200.0;SBB;;47.1945798603, 8.47842234624;http://lod.opentransportdata.swiss/didok/8502227
TK;Tecknau;2016-01-01;450;500.0;SBB;;47.4457572594, 7.88760523024;http://lod.opentransportdata.swiss/didok/8500028
STA;Staad;2016-01-01;640;720.0;SBB;;47.4807713471, 9.53652077145;http://lod.opentransportdata.swiss/didok/8506312
SUHR;Suhr;2016-01-01;1600;1900.0;SBB;;47.3716326855, 8.08227404767;http://lod.opentransportdata.swiss/didok/8502103
ZWIE;Zürich Wiedikon;2016-01-01;10300;12400.0;SBB;;47.3714716204, 8.52346258297;http://lod.opentransportdata.swiss/didok/8503011
MANN;Mannenbach-Salenstein;2016-01-01;;;SBB;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.6736499577, 9.05277922071;http://lod.opentransportdata.swiss/didok/8506134
MELN;Mellikon;2016-01-01;;;SBB;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.5684839744, 8.35249723256;http://lod.opentransportdata.swiss/didok/8503414
MAM;Mammern;2016-01-01;;;SBB;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.6441576694, 8.91398444987;http://lod.opentransportdata.swiss/didok/8506137
LU;Luchsingen-Hätzingen;2016-01-01;410;470.0;SBB;;46.9650649888, 9.0390086553;http://lod.opentransportdata.swiss/didok/8503236
LOT;Lottstetten;2016-01-01;300;360.0;SBB;;47.6257356296, 8.56680664761;http://lod.opentransportdata.swiss/didok/8503420
MOE;Möhlin;2016-01-01;3600;4200.0;SBB;;47.5618497594, 7.83385418673;http://lod.opentransportdata.swiss/didok/8500302
KRA;Kradolf;2016-01-01;;;SBB;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.5247196873, 9.20155757744;http://lod.opentransportdata.swiss/didok/8506216
KRH;Kreuzlingen Hafen;2016-01-01;1600;1900.0;SBB;;47.6491676497, 9.18196081638;http://lod.opentransportdata.swiss/didok/8506128
LDS;Landschlacht;2016-01-01;260;280.0;SBB;;47.6288954671, 9.24694004807;http://lod.opentransportdata.swiss/didok/8588122
KIL;Kilchberg;2016-01-01;2800;3300.0;SBB;;47.3244274064, 8.54799908563;http://lod.opentransportdata.swiss/didok/8503200
LB;Lenzburg;2016-01-01;23200;26900.0;SBB;;47.3911934191, 8.17037888645;http://lod.opentransportdata.swiss/didok/8502119
LSN;Lausen;2016-01-01;1400;1600.0;SBB;;47.470196213, 7.75982160092;http://lod.opentransportdata.swiss/didok/8500024
HGT;Henggart;2016-01-01;;;SBB;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.5642523105, 8.68505196166;http://lod.opentransportdata.swiss/didok/8506046
GLZB;Glanzenberg;2016-01-01;3300;3900.0;SBB;;47.3988744293, 8.4204230971;http://lod.opentransportdata.swiss/didok/8503512
GUET;Güttingen;2016-01-01;320;340.0;SBB;;47.6087494286, 9.29222710394;http://lod.opentransportdata.swiss/didok/8506124
HIK;Hitzkirch;2016-01-01;840;1000.0;SBB;;47.2226679578, 8.25198154865;http://lod.opentransportdata.swiss/didok/8502027
KAB;Kaltbrunn;2016-01-01;270;320.0;SBB;;47.2179781456, 9.02241755712;http://lod.opentransportdata.swiss/didok/8503117
KN;Kempten;2016-01-01;1600;2000.0;SBB;;47.3320368667, 8.80470571863;http://lod.opentransportdata.swiss/didok/8503300
HG;Horgen;2016-01-01;7900;9400.0;SBB;;47.2614824887, 8.59690458831;http://lod.opentransportdata.swiss/didok/8503204
WAST;Walterswil-Striegel;2016-01-01;100;120.0;SBB;;47.3199221956, 7.96318642397;http://lod.opentransportdata.swiss/didok/8502121
WIN;Winkel am Zürichsee;2016-01-01;1300;1500.0;SBB;;47.29720073, 8.59897547971;http://lod.opentransportdata.swiss/didok/8503111
WD;Wiesendangen;2016-01-01;850;1000.0;SBB;;47.5255401974, 8.77601496118;http://lod.opentransportdata.swiss/didok/8506017
WS;Wallisellen;2016-01-01;13000;16200.0;SBB;;47.4127169827, 8.59191127027;http://lod.opentransportdata.swiss/didok/8503129
W;Winterthur;2016-01-01;94300;108000.0;SBB;;47.5003335301, 8.72379907332;http://lod.opentransportdata.swiss/didok/8506000
WE;Wettingen;2016-01-01;4500;5400.0;SBB;;47.4596367944, 8.3159863528;http://lod.opentransportdata.swiss/didok/8503505
OFR;Otelfingen Golfpark;2016-01-01;580;720.0;SBB;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2014 eingeschränkt und somit ein Vergleich mit der Angabe 2016 nicht sinnvoll.;47.455812722, 8.40209787525;http://lod.opentransportdata.swiss/didok/8503525
RMZ;Rämismühle-Zell;2016-01-01;;;SBB;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.4415398241, 8.81911811289;http://lod.opentransportdata.swiss/didok/8506006
REK;Rekingen AG;2016-01-01;;;SBB;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.569967429, 8.32711190205;http://lod.opentransportdata.swiss/didok/8503408
OTH;Othmarsingen;2016-01-01;1100;1400.0;SBB;;47.4074269011, 8.21478836445;http://lod.opentransportdata.swiss/didok/8502105
PIE;Pieterlen;2016-01-01;1000;1200.0;SBB;;47.1714342219, 7.34019009864;http://lod.opentransportdata.swiss/didok/8500200
RZ;Rafz;2016-01-01;1700;1900.0;SBB;;47.6037893298, 8.54342564763;http://lod.opentransportdata.swiss/didok/8503404
SIR;Sirnach;2016-01-01;910;1000.0;SBB;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2014 eingeschränkt und somit ein Vergleich mit der Angabe 2016 nicht sinnvoll.;47.4619919682, 9.00045935104;http://lod.opentransportdata.swiss/didok/8506010
SO;Solothurn;2016-01-01;15700;17800.0;SBB;Ohne ASM und RBS.;47.2041807751, 7.54268420304;http://lod.opentransportdata.swiss/didok/8500207
STRI;Steinhausen Rigiblick;2016-01-01;750;980.0;SBB;;47.1878937296, 8.47969110761;http://lod.opentransportdata.swiss/didok/8518459
STER;St. Erhard-Knutwil;2016-01-01;120;130.0;SBB;;47.1800770071, 8.07456185019;http://lod.opentransportdata.swiss/didok/8502010
SIB;Siebnen-Wangen;2016-01-01;3200;3800.0;SBB;;47.1826674891, 8.90069892838;http://lod.opentransportdata.swiss/didok/8503221
STCH;Steinach;2016-01-01;430;480.0;SBB;;47.5008611902, 9.44212099652;http://lod.opentransportdata.swiss/didok/8516271
STAF;Stabio;2016-01-01;510;690.0;SBB;;45.8497253119, 8.94393965078;http://lod.opentransportdata.swiss/didok/8517519
OWT;Oberwinterthur;2016-01-01;4800;5700.0;SBB;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2014 eingeschränkt und somit ein Vergleich mit der Angabe 2016 nicht sinnvoll.;47.5079184546, 8.76037093131;http://lod.opentransportdata.swiss/didok/8506016
MRT;Murten/Morat;2016-01-01;2000;2000.0;SBB;Ohne TPF.;46.9253915414, 7.11537589102;http://lod.opentransportdata.swiss/didok/8504128
MSPI;Münsterlingen Spital;2016-01-01;520;640.0;SBB;;47.6320503917, 9.23610817435;http://lod.opentransportdata.swiss/didok/8506143
NW;Niederweningen;2016-01-01;960;1100.0;SBB;;47.5111974542, 8.36960718376;http://lod.opentransportdata.swiss/didok/8503319
MST;Münchenstein;2016-01-01;600;720.0;SBB;;47.5133857839, 7.61758557051;http://lod.opentransportdata.swiss/didok/8500119
OEN;Oensingen;2016-01-01;5100;5700.0;SBB;;47.2850232125, 7.70985469445;http://lod.opentransportdata.swiss/didok/8500212
NO;Nottwil;2016-01-01;890;1000.0;SBB;;47.1388047171, 8.13858805823;http://lod.opentransportdata.swiss/didok/8502008
TU;Turbenthal;2016-01-01;;;SBB;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.437383413, 8.84380329191;http://lod.opentransportdata.swiss/didok/8506007
TLH;Thalheim-Altikon;2016-01-01;160;170.0;SBB;;47.5696197047, 8.75762721172;http://lod.opentransportdata.swiss/didok/8506022
WCHW;Walchwil;2016-01-01;500;600.0;SBB;;47.0986827694, 8.51692521124;http://lod.opentransportdata.swiss/didok/8502205
RTH;Rüthi SG;2016-01-01;110;120.0;SBB;;47.2867324557, 9.53604616419;http://lod.opentransportdata.swiss/didok/8509401
SEV;Sevelen;2016-01-01;240;280.0;SBB;;47.1253714782, 9.49382469899;http://lod.opentransportdata.swiss/didok/8509406
SA;Sargans;2016-01-01;10900;11900.0;SBB;;47.0453635269, 9.44539562754;http://lod.opentransportdata.swiss/didok/8509411
SE;Seon;2016-01-01;670;780.0;SBB;;47.3461400227, 8.15878995065;http://lod.opentransportdata.swiss/didok/8502030
ZGFR;Zug Fridbach;2016-01-01;240;280.0;SBB;;47.1565775965, 8.51227569316;http://lod.opentransportdata.swiss/didok/8515994
WUER;Würenlos;2016-01-01;920;1100.0;SBB;;47.4457585301, 8.35764331882;http://lod.opentransportdata.swiss/didok/8503529
BZN;Bischofszell Nord;2016-01-01;;;SBB;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.5004169871, 9.23401945255;http://lod.opentransportdata.swiss/didok/8506215
BI;Biel/Bienne;2016-01-01;46300;52100.0;SBB;Ohne ASM.;47.1328920532, 7.24290845288;http://lod.opentransportdata.swiss/didok/8504300
BS;Basel SBB;2016-01-01;102700;114200.0;SBB;Ohne SNCF.;47.5474041527, 7.58955146721;http://lod.opentransportdata.swiss/didok/8500010
BW;Beinwil am See;2016-01-01;960;1100.0;SBB;;47.2672189808, 8.20221962657;http://lod.opentransportdata.swiss/didok/8502034
BRAG;Bad Ragaz;2016-01-01;2400;2700.0;SBB;;47.0103066077, 9.50521579767;http://lod.opentransportdata.swiss/didok/8509004
BLG;Baldegg;2016-01-01;250;280.0;SBB;;47.1856838433, 8.28020982028;http://lod.opentransportdata.swiss/didok/8502025
BIL;Bilten;2016-01-01;240;270.0;SBB;;47.1521909901, 9.02990001736;http://lod.opentransportdata.swiss/didok/8503224
GSAG;Emmenbrücke Gersag;2016-01-01;3300;3700.0;SBB;;47.0783132004, 8.27679952708;http://lod.opentransportdata.swiss/didok/8502028
FET;Fehraltorf;2016-01-01;3100;3800.0;SBB;;47.3851215525, 8.75026509676;http://lod.opentransportdata.swiss/didok/8503302
FLA;Flawil;2016-01-01;3400;4000.0;SBB;;47.4151898192, 9.1897661689;http://lod.opentransportdata.swiss/didok/8506209
AF;Affoltern am Albis;2016-01-01;6900;8100.0;SBB;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2014 eingeschränkt und somit ein Vergleich mit der Angabe 2016 nicht sinnvoll.;47.276064074, 8.44658239143;http://lod.opentransportdata.swiss/didok/8502224
AAT;Aathal;2016-01-01;690;750.0;SBB;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2014 eingeschränkt und somit ein Vergleich mit der Angabe 2016 nicht sinnvoll.;47.3359563788, 8.76561022548;http://lod.opentransportdata.swiss/didok/8503124
ABO;Aarburg-Oftringen;2016-01-01;2300;2700.0;SBB;;47.3202667174, 7.90820373354;http://lod.opentransportdata.swiss/didok/8502000
DA;Dachsen;2016-01-01;840;930.0;SBB;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2014 eingeschränkt und somit ein Vergleich mit der Angabe 2016 nicht sinnvoll.;47.6670843791, 8.61379705884;http://lod.opentransportdata.swiss/didok/8506049
DSH;Diessenhofen;2016-01-01;;;SBB;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.6854695764, 8.75227980348;http://lod.opentransportdata.swiss/didok/8503428
EF;Effretikon;2016-01-01;16200;19100.0;SBB;;47.4258103324, 8.68666226267;http://lod.opentransportdata.swiss/didok/8503305
DN;Deitingen;2016-01-01;560;650.0;SBB;;47.218217892, 7.61889907416;http://lod.opentransportdata.swiss/didok/8500209
EBI;Ebikon;2016-01-01;1500;1800.0;SBB;;47.08425714, 8.34234535321;http://lod.opentransportdata.swiss/didok/8502200
CHAA;Cham Alpenblick;2016-01-01;1400;1600.0;SBB;;47.1822828869, 8.47144117681;http://lod.opentransportdata.swiss/didok/8515995
BRIT;Brittnau-Wikon;2016-01-01;170;190.0;SBB;;47.2626629521, 7.95702232358;http://lod.opentransportdata.swiss/didok/8502002
BUE;Bülach;2016-01-01;14100;16500.0;SBB;;47.5239413008, 8.53618858988;http://lod.opentransportdata.swiss/didok/8503400
BRU;Brunnen;2016-01-01;2600;2800.0;SBB;;46.9991749288, 8.61004816648;http://lod.opentransportdata.swiss/didok/8505007
CHAM;Cham;2016-01-01;5200;6100.0;SBB;;47.1782423661, 8.45748408001;http://lod.opentransportdata.swiss/didok/8502203
GSK;Gisikon-Root;2016-01-01;1100;1300.0;SBB;;47.1213263146, 8.39477668629;http://lod.opentransportdata.swiss/didok/8502201
ZAS;Zürich Altstetten;2016-01-01;34500;42900.0;SBB;;47.3914808361, 8.4889402654;http://lod.opentransportdata.swiss/didok/8503001
ZWIP;Zürich Wipkingen;2016-01-01;2100;2400.0;SBB;;47.3930313233, 8.52935905447;http://lod.opentransportdata.swiss/didok/8503015
ZAF;Zürich Affoltern;2016-01-01;3800;4200.0;SBB;;47.4209123371, 8.5085656936;http://lod.opentransportdata.swiss/didok/8503008
ZOER;Zürich Oerlikon;2016-01-01;72400;85700.0;SBB;;47.4115288802, 8.54411523121;http://lod.opentransportdata.swiss/didok/8503006
ZGO;Zug Oberwil;2016-01-01;250;280.0;SBB;;47.147675872, 8.50992153777;http://lod.opentransportdata.swiss/didok/8502231
ZWG;Zwingen;2016-01-01;2400;2800.0;SBB;;47.4337913284, 7.53045708322;http://lod.opentransportdata.swiss/didok/8500114
HET;Hettlingen;2016-01-01;;;SBB;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.5454376137, 8.69481326415;http://lod.opentransportdata.swiss/didok/8506045
HUCH;Hünenberg Chämleten;2016-01-01;230;250.0;SBB;;47.1691518563, 8.44989778178;http://lod.opentransportdata.swiss/didok/8502306
HUZY;Hünenberg Zythus;2016-01-01;1300;1500.0;SBB;;47.17360308, 8.45007424526;http://lod.opentransportdata.swiss/didok/8515996
GS;Grenchen Süd;2016-01-01;4700;5500.0;SBB;;47.1887666151, 7.39817426522;http://lod.opentransportdata.swiss/didok/8500202
GREL;Grellingen;2016-01-01;1500;1700.0;SBB;;47.4412906001, 7.59198326877;http://lod.opentransportdata.swiss/didok/8500115
NHRH;Neuhausen Rheinfall;2016-01-01;530;520.0;SBB;;47.6796483277, 8.61745857524;http://lod.opentransportdata.swiss/didok/8518924
NHOF;Neuenhof;2016-01-01;1500;1700.0;SBB;;47.4506605026, 8.33123368601;http://lod.opentransportdata.swiss/didok/8503511
MH;Mühlehorn;2016-01-01;160;170.0;SBB;;47.1178401962, 9.17300255739;http://lod.opentransportdata.swiss/didok/8509418
MEG;Meggen;2016-01-01;100;120.0;SBB;;47.0501422644, 8.38304450517;http://lod.opentransportdata.swiss/didok/8505001
MO;Mosen;2016-01-01;170;180.0;SBB;;47.2442873199, 8.22414905535;http://lod.opentransportdata.swiss/didok/8502029
MG;Murg;2016-01-01;250;250.0;SBB;;47.1131764998, 9.21502492933;http://lod.opentransportdata.swiss/didok/8509417
OA;Oberaach;2016-01-01;;;SBB;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.5532223119, 9.2709268739;http://lod.opentransportdata.swiss/didok/8506108
RN;Rikon;2016-01-01;;;SBB;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.4450032571, 8.79630774826;http://lod.opentransportdata.swiss/didok/8506005
PFZ;Pfäffikon ZH;2016-01-01;5200;6200.0;SBB;;47.3670842127, 8.78477640275;http://lod.opentransportdata.swiss/didok/8503301
OB;Oberbuchsiten;2016-01-01;720;860.0;SBB;;47.3052431626, 7.77171069136;http://lod.opentransportdata.swiss/didok/8500213
RG;Reichenburg;2016-01-01;360;410.0;SBB;;47.1726951083, 8.98230203354;http://lod.opentransportdata.swiss/didok/8503223
OF;Otelfingen;2016-01-01;1300;1500.0;SBB;;47.4549348839, 8.38750753521;http://lod.opentransportdata.swiss/didok/8503528
RCK;Rheineck;2016-01-01;2000;2200.0;SBB;;47.4668881391, 9.59090422659;http://lod.opentransportdata.swiss/didok/8506313
