Code;Bahnhof_Haltestelle;Bezugsjahr;DTV;DMW;Eigner;Bemerkung;geopos;lod
KAAG;Kaiserstuhl AG;2016-01-01;;;SBB;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.5664464571, 8.41914841526;http://lod.opentransportdata.swiss/didok/8503413
KKO;Kölliken Oberdorf;2016-01-01;190;220.0;SBB;;47.3246738705, 8.01907059825;http://lod.opentransportdata.swiss/didok/8502122
KUE;Küssnacht am Rigi;2016-01-01;2200;2400.0;SBB;;47.0835940036, 8.4334940573;http://lod.opentransportdata.swiss/didok/8505002
KBD;Koblenz Dorf;2016-01-01;410;480.0;SBB;;47.6093835703, 8.24013823513;http://lod.opentransportdata.swiss/didok/8503411
KB;Koblenz;2016-01-01;2900;3400.0;SBB;;47.6003354815, 8.22702315842;http://lod.opentransportdata.swiss/didok/8500329
HUEW;Hüntwangen-Wil;2016-01-01;1500;1800.0;SBB;;47.5812668467, 8.51282074899;http://lod.opentransportdata.swiss/didok/8503403
HB;Herzogenbuchsee;2016-01-01;3600;4100.0;SBB;;47.1880813308, 7.70094642682;http://lod.opentransportdata.swiss/didok/8508008
HAE;Hägendorf;2016-01-01;1500;1800.0;SBB;;47.3302605109, 7.84380971731;http://lod.opentransportdata.swiss/didok/8500215
GOE;Göschenen;2016-01-01;2000;1900.0;SBB;;46.6658163572, 8.58879659143;http://lod.opentransportdata.swiss/didok/8505119
IT;Itingen;2016-01-01;930;1100.0;SBB;;47.4672660009, 7.78720690694;http://lod.opentransportdata.swiss/didok/8500025
HD;Hallwil;2016-01-01;170;200.0;SBB;;47.3286359778, 8.17593763411;http://lod.opentransportdata.swiss/didok/8502031
HN;Horn;2016-01-01;490;540.0;SBB;;47.493176824, 9.46337580999;http://lod.opentransportdata.swiss/didok/8506307
JO;Jona;2016-01-01;4700;5400.0;SBB;;47.230969801, 8.8345980429;http://lod.opentransportdata.swiss/didok/8503120
LA;Lachen;2016-01-01;3000;3500.0;SBB;;47.190068574, 8.85269238166;http://lod.opentransportdata.swiss/didok/8503220
LK;Leuk;2016-01-01;2000;2200.0;SBB;;46.3118851335, 7.64394777254;http://lod.opentransportdata.swiss/didok/8501601
MAER;Märstetten;2016-01-01;380;440.0;SBB;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2016 eingeschränkt und somit ein Vergleich mit der Angabe 2014 nicht sinnvoll.;47.5828184065, 9.0621817582;http://lod.opentransportdata.swiss/didok/8506104
MAEN;Männedorf;2016-01-01;4900;5700.0;SBB;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2014 eingeschränkt und somit ein Vergleich mit der Angabe 2016 nicht sinnvoll.;47.2534223208, 8.69233239506;http://lod.opentransportdata.swiss/didok/8503106
LZVH;Luzern Verkehrshaus;2016-01-01;560;590.0;SBB;;47.053927868, 8.33728023957;http://lod.opentransportdata.swiss/didok/8517336
MEGZ;Meggen Zentrum;2016-01-01;370;400.0;SBB;;47.0450427897, 8.37412430654;http://lod.opentransportdata.swiss/didok/8505018
MTL;Marthalen;2016-01-01;1700;1900.0;SBB;;47.6310755053, 8.65609788009;http://lod.opentransportdata.swiss/didok/8506048
LIG;Ligerz;2016-01-01;410;420.0;SBB;;47.0837604425, 7.13514479553;http://lod.opentransportdata.swiss/didok/8504227
NAEN;Nänikon-Greifensee;2016-01-01;4700;5600.0;SBB;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2014 eingeschränkt und somit ein Vergleich mit der Angabe 2016 nicht sinnvoll.;47.3693584945, 8.68639971514;http://lod.opentransportdata.swiss/didok/8503126
MELH;Mellingen Heitersberg;2016-01-01;2500;3200.0;SBB;;47.4280718007, 8.27633859072;http://lod.opentransportdata.swiss/didok/8516219
MGT;Murgenthal;2016-01-01;500;590.0;SBB;;47.2653781303, 7.83209989652;http://lod.opentransportdata.swiss/didok/8508102
MPF;Mumpf;2016-01-01;1000;1200.0;SBB;;47.5476175889, 7.90961301385;http://lod.opentransportdata.swiss/didok/8500303
MELS;Mels;2016-01-01;280;330.0;SBB;;47.053743904, 9.41774577748;http://lod.opentransportdata.swiss/didok/8509412
SD;Saland;2016-01-01;;;SBB;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.3942126094, 8.85420315671;http://lod.opentransportdata.swiss/didok/8506009
DIH;Dinhard;2016-01-01;190;210.0;SBB;;47.5533468989, 8.75295793686;http://lod.opentransportdata.swiss/didok/8506021
CH;Chur;2016-01-01;23500;24000.0;SBB;;46.8530797552, 9.52892561961;http://lod.opentransportdata.swiss/didok/8509000
GSS;Gossau SG;2016-01-01;10200;11100.0;SBB;;47.4118296551, 9.25303263655;http://lod.opentransportdata.swiss/didok/8506210
GIB;Gibswil;2016-01-01;250;270.0;SBB;;47.3137146634, 8.9154940778;http://lod.opentransportdata.swiss/didok/8503137
RBGD;Rothenburg Dorf;2016-01-01;1400;1500.0;SBB;;47.0909062076, 8.27317678808;http://lod.opentransportdata.swiss/didok/8502012
RBG;Rothenburg;2016-01-01;1100;1300.0;SBB;;47.0881904457, 8.24917741374;http://lod.opentransportdata.swiss/didok/8502020
RLG;Rümlingen;2016-01-01;90;110.0;SBB;;47.4253702718, 7.85052282001;http://lod.opentransportdata.swiss/didok/8500033
RIET;Rietheim;2016-01-01;220;260.0;SBB;;47.6007474568, 8.27730806919;http://lod.opentransportdata.swiss/didok/8503410
